index,device_id
0,-1547860181818787117
1,-6220210354783429585
2,9097600484609173263
3,6130118150534832946
4,2245330978838477229
5,-585624601543378674
6,3209346871621690086
7,-642487135754298576
8,591340737194606714
9,8959051876803738252
10,-3777557558433621597
11,3730780206241230850
12,6844576943777316578
13,-754860081963222510
14,3040251223252735640
15,-4789553784496542867
16,-8965149070623644235
17,-2228254430766274172
18,-6984491404817354437
19,7139033090525006982
20,6249623424395853988
21,-6397136450918115978
22,-3833675858464322823
23,3741235090721051699
24,2758652417439519167
25,-532129606950453802
26,-6172762066681952094
27,1394976274319147432
28,6401864917272734079
29,532288104671605469
30,4115241805900946855
31,-3859421293813363623
32,-7848689254151869059
33,-6006895583147357998
34,-4912996722890465469
35,-612633994720441172
36,3293378575045723537
37,3457072588641797510
38,246137323251052844
39,-2415722024788966467
40,-5250414761906218115
41,3123794189402477077
42,-6431834458507005835
43,-7129869038951859191
44,-4071661811335137318
45,-2732605356167017618
46,-2207241092761911130
47,-8264230721847698693
48,6588198359186337255
49,-9106656691323957018
50,-1141877118618104016
51,4771377787923743988
52,-9158879548978516517
53,1081634035383942208
54,4454605693855275785
55,2228607824491393313
56,-6114793433691149222
57,6658623800651213319
58,6271927735123162016
59,-5824915991421807331
60,-2128803457097975786
61,-5375978467321449662
62,5094877497208970934
63,-5881068712521819568
64,-4282966788763008401
65,-6263610923587915996
66,1452119784938836505
67,5951204190538835861
68,4812864777770397452
69,8147807122602269845
70,-5555069407475252383
71,8532323652222934440
72,-8031128722486157120
73,-5451040328945011620
74,-7292101823167177121
75,3422292528231839940
76,-9120150687627269004
77,-8593285263502206089
78,5283012794793134078
79,-8163007653162354997
80,4581394787332724861
81,4080425412466410536
82,3824213028604817616
83,-5256100307076257771
84,3884631425256925387
85,-8233861185924417472
86,-2537666235695274139
87,-3755791404300285550
88,5600562932527660798
89,3432694483664492715
90,-8896851958628849506
91,3914160275446210115
92,6684656605720064167
93,7648060435956928367
94,5066094772769110347
95,-8742730822633131889
96,-3210355047190458952
97,-2667851617053692417
98,3520885600242696817
99,2753816367023881612
100,-8217389942360454871
101,-5926981565155681405
102,-5634875696248393816
103,8130563439270700687
104,7357298247266916374
105,-4472429240834570429
106,-1320118327415136137
107,-5728408682786272691
108,3904785819560762172
