index,device_id
0,6352067998666467520
1,-7216269352973401877
2,3444770318780911055
3,-1279883160764317574
4,-1173303210238773591
5,-8428853393823283356
6,4156261305872406545
7,6354951364862886829
8,2346793034696706898
9,4922799967163614958
10,6895504244645409122
11,-7882183570062087941
12,-8018890275127066945
13,6123790560434642813
14,-7464543035045993775
15,3190702475320666496
16,3141753394038535319
17,-1516688507910543815
18,-5189881483734033534
19,-6711641544479668924
20,-1319995297521489561
21,-7319671561866655769
22,4192900550916502009
23,7085696727020395428
24,-7040791784866622265
25,-2966512100134318742
26,-3310045835362138089
27,-766118996225706089
28,-6000733973296812644
29,-4153865198013987891
30,6775652294837141141
31,-4249929128118593776
32,-6652140857336427673
33,5108142823291112751
34,5297854804165140682
35,-637891494492896017
36,2825141601023672167
37,4189762977638537239
38,113979950782839877
39,-6042908553950254235
40,8848742706511928763
41,6604280119591140661
42,5413704986152654312
43,-5317745724179407738
44,-1759997501338681850
45,-1045655858343636006
46,2510851418746740937
47,-4837437557348002889
48,-3641970131210381534
49,6788691223026392889
50,-3352337094847398864
51,589557985088430288
52,-2001567280649176448
53,7958696823479453960
54,1352886169581418887
55,-4551768034596689389
56,6008495818349839326
57,-6153673241974140087
58,-1983931105460838223
59,8353740206445735179
60,-2330036225904384801
61,3439985609749922150
62,-602351730740783793
63,-236963596009956963
64,1318303222997853851
65,1874308258075089641
66,-7603777855807306454
67,-7065078100475716045
68,-4844946365893487136
69,2973015864073168250
70,2389384819016317481
71,-280792878984386324
72,-429243268324577775
73,-6575679788532858282
74,5819828849011388017
75,-1352971490438520298
76,-4562868606216655042
77,7855796739862822440
78,-7232119701913724901
79,-1889033480958016238
80,-4100601935100144456
81,-1954607149185073844
82,-5762038527485744367
83,9184963992247652631
84,-1686327245264629942
85,266598286759225880
86,-6777739487963556282
87,-3430460284808041981
88,-8263208485823447044
89,-4735382375325691891
90,-3307135362322431632
91,-797597256965011700
92,-3293430962013612634
93,8597136060207936321
94,-8480612723734037982
95,1478614427793108417
96,-8948604730896689003
97,292388422999124365
98,3323224665682418080
99,-5785549517154749158
100,4238217942089411968
101,4292022177175958327
102,5213450772826267045
103,5732057807725143697
104,441877345956145642
105,-2314677008601823213
106,7458466907666102967
107,6018163012436422032
108,4057339118624580405
109,-2107177132625990978
110,6563167257361207822
111,-6105704784642767091
